E_eV,f1,f2
0.1,-0.0026724,0.0097914
0.13,-0.0032984,0.013586
0.15,-0.0035387,0.015377
0.17,-0.003659,0.017219
0.2,-0.0042933,0.021029
0.22,-0.0044952,0.022794
0.25,-0.0050655,0.02656
0.28,-0.0055642,0.030397
0.3,-0.0057566,0.031937
0.32,-0.0057646,0.033421
0.35,-0.006118,0.036762
0.38,-0.006421,0.039538
0.4,-0.0063436,0.039954
0.43,-0.0077764,0.041717
0.45,-0.0090045,0.041297
0.47,-0.011419,0.040646
0.5,-0.015936,0.042221
0.52,-0.019546,0.043831
0.55,-0.023722,0.047311
0.57,-0.027471,0.049035
0.6,-0.032568,0.053229
0.63,-0.037732,0.05825
0.65,-0.041832,0.061637
0.7,-0.050554,0.073309
0.73,-0.054513,0.081128
0.77,-0.057664,0.091431
0.8,-0.060422,0.098694
0.82,-0.061419,0.10325
0.88,-0.066326,0.11789
1,-0.071191,0.14501
1.3,-0.084774,0.20768
1.4,-0.09016,0.22841
1.8,-0.10717,0.3144
1.9,-0.10913,0.33686
2.2,-0.12404,0.39969
2.3,-0.12746,0.42527
2.5,-0.13143,0.46821
2.9,-0.14553,0.5545
3.1,-0.15156,0.59783
3.2,-0.15253,0.61908
3.4,-0.157,0.66343
3.7,-0.16793,0.7257
3.8,-0.16764,0.74964
4,-0.17173,0.78857
4.2,-0.17388,0.8269
4.4,-0.18235,0.86512
4.6,-0.18077,0.90383
4.8,-0.19178,0.93367
5,-0.19714,0.96381
5.2,-0.21323,0.98915
5.6,-0.2473,1.0579
5.8,-0.26528,1.0832
6,-0.29966,1.104
6.048,-0.15224,1.1217
6.1,-0.30973,1.1167
6.199,-0.32828,1.1364
6.199,-0.20202,1.1279
6.358,-0.26564,1.1423
6.702,-0.37388,1.22
7.085,-0.5058,1.3525
7.293,-0.57088,1.4214
7.514,-0.59364,1.4965
7.749,-0.60505,1.6047
7.999,-0.64472,1.6258
8.266,-0.70344,1.7212
8.492,-0.74243,1.8166
8.61,-0.74697,1.8674
8.731,-0.76811,1.9203
8.856,-0.77308,1.9757
8.984,-0.76023,2.0155
9.537,-0.8567,2.3111
9.686,-0.86313,2.4044
9.84,-0.84838,2.4815
9.999,-0.81031,2.5842
10.16,-0.7914,2.6681
10.33,-0.74798,2.7348
10.69,-0.70089,2.8286
10.88,-0.7001,2.8782
11.07,-0.67108,2.9259
11.27,-0.66773,2.9769
11.48,-0.69284,3.0312
11.7,-0.68967,3.1185
11.92,-0.68472,3.1746
12.16,-0.71257,3.2714
12.4,-0.63993,3.3041
12.65,-0.59589,3.3545
12.92,-0.69473,3.4444
13.19,-0.76218,3.5441
13.78,-0.66551,3.7934
14.42,-0.54658,4.0948
14.76,-0.47721,4.252
15.9,-0.38764,4.7071
16.75,-0.30728,5.021
17.22,-0.25982,5.2548
17.71,-0.20611,5.6749
17.97,-0.14147,5.9205
18.23,-0.072797,6.2314
18.51,0.052535,6.5219
18.79,0.19334,6.8367
19.07,0.34254,7.1694
19.37,0.51777,7.52
19.68,0.7296,7.839
20.33,1.2494,8.4831
20.66,1.5427,8.7701
21.01,1.8178,9.0407
21.38,2.0827,9.2518
21.75,2.4559,9.3779
25.002,3.5203,10.238
27.002,4.0135,10.509
29.002,4.7996,11.128
31.002,6.6277,12.291
33.003,8.1809,10.898
35.203,7.57969,10.0013
35.301,7.5633,10.0108
35.402,7.58179,9.99679
35.502,7.58318,9.94832
35.702,7.54244,9.91002
35.802,7.53729,9.91504
36.002,7.53563,9.86711
36.202,7.528,9.85933
36.403,7.52788,9.83845
36.501,7.52346,9.81283
36.602,7.52165,9.82606
36.802,7.50648,9.7941
36.902,7.50992,9.80583
37.102,7.50515,9.78277
37.401,7.51547,9.80318
37.8694,7.53889,9.78252
38.3436,7.5653,9.76486
38.8238,7.58928,9.74744
39.003,7.58485,9.74101
39.102,7.61391,9.7536
39.5917,7.66442,9.7275
39.603,7.66569,9.7269
39.802,7.67308,9.69662
40.204,7.68534,9.67024
40.7075,7.69756,9.63815
41.2173,7.7029,9.60617
41.7335,7.69191,9.5743
42.2561,7.66942,9.55596
42.7853,7.6287,9.54672
43.3211,7.6006,9.57434
43.8636,7.58445,9.60451
44.413,7.58104,9.64067
44.9692,7.60245,9.65989
45.5323,7.63694,9.65643
46.1026,7.64746,9.60118
46.6799,7.61943,9.51749
47.2645,7.52476,9.4004
47.8564,7.35065,9.2833
47.902,7.3375,9.2744
48.102,7.24749,9.22526
48.703,6.89138,9.16102
49.107,6.59471,9.17099
49.403,6.3513,9.21229
49.699,6.07323,9.3016
50.002,5.78134,9.44824
50.305,5.47536,9.66829
50.602,5.20301,9.95105
50.804,5.01803,10.1888
51.1,4.84213,10.5998
51.7399,4.67131,11.6207
51.901,4.69667,11.8906
52.201,4.80745,12.3569
52.503,4.98535,12.784
52.804,5.22046,13.1572
53.102,5.47621,13.4604
53.402,5.74205,13.7194
53.907,6.18276,14.0626
54.503,6.68191,14.3687
55.002,7.06758,14.567
55.6908,7.57122,14.7712
56.3882,8.04035,14.9612
57.0944,8.48605,15.1288
57.8094,8.94908,15.2983
58.5334,9.47284,15.4133
58.803,9.67243,15.4529
59.501,10.1848,15.4653
60.2462,10.704,15.3933
61.0006,11.1863,15.2335
61.7646,11.5873,15.0326
62.5381,11.8877,14.797
63.3213,12.114,14.5652
64.103,12.2542,14.3401
64.8,12.289,14.2029
65.51,12.298,14.1492
66.108,12.302,14.1598
66.9359,12.3773,14.2986
67.7742,12.574,14.4588
67.899,12.6203,14.483
68.398,12.8345,14.5225
68.905,13.0573,14.4784
69.196,13.1725,14.3913
69.604,13.2861,14.2432
69.903,13.3371,14.0445
70.203,13.2739,13.7441
