E_eV,f1,f2
105.5,13.1439,1.20176
106,13.1094,1.21224
106.5,13.0772,1.22801
107,13.0502,1.22468
107.5,13.0148,1.23528
108,12.9785,1.23181
108.5,12.943,1.25392
109,12.9208,1.26327
109.5,12.8959,1.26128
111.271,12.7793,1.28224
111.5,12.7662,1.28495
112,12.7362,1.28415
112.5,12.7074,1.29673
113.5,12.6366,1.31002
114,12.6121,1.32977
114.5,12.5839,1.332
115.5,12.5292,1.36794
116,12.5092,1.37159
116.5,12.4882,1.38204
117,12.4604,1.38587
118,12.4148,1.41934
118.5,12.3923,1.41969
119,12.3743,1.4362
119.5,12.3491,1.4451
120,12.3459,1.46173
121.5,12.3049,1.46901
122,12.2813,1.45494
123,12.2215,1.46036
124,12.1743,1.47359
125,12.1186,1.49514
126,12.0742,1.50402
128,12.0244,1.57421
129,11.985,1.54527
130,11.9253,1.56134
131,11.8877,1.59716
132,11.8578,1.60038
134,11.7785,1.62488
135,11.7325,1.6229
136,11.6977,1.65645
138,11.5999,1.67539
139,11.574,1.71228
140,11.5454,1.72262
141,11.4971,1.70564
142,11.4468,1.76297
143,11.4225,1.76841
144,11.3836,1.80146
146,11.3231,1.81816
147,11.2794,1.85414
148,11.2535,1.87819
149,11.227,1.88871
151,11.1628,1.93743
152,11.143,1.94694
153,11.117,1.9676
154,11.0945,1.97101
156,11.0431,2.0033
158.523,10.972,2.01755
160,10.9268,2.02584
161,10.8926,2.02529
162,10.853,2.04178
163,10.8308,2.03621
165.636,10.718,2.06109
167,10.6599,2.07392
168,10.6246,2.06447
169,10.5839,2.10381
170,10.5598,2.09633
172,10.4756,2.12064
173,10.4475,2.11404
175,10.3556,2.13189
176,10.322,2.11976
178.847,10.1719,2.166
179,10.1683,2.1685
181,10.0698,2.15687
182,10.0188,2.18161
183,9.96933,2.18829
184,9.92972,2.21208
185,9.88437,2.19724
186,9.80975,2.19402
187,9.72246,2.2131
188,9.68785,2.29181
190,9.61924,2.32368
191,9.58679,2.33252
