E_eV,f1,f2
0.42,-0.0075898,0.027563
0.46,-0.010026,0.030225
0.5,-0.012324,0.03301
0.54,-0.014832,0.035861
0.58,-0.017638,0.038968
0.62,-0.020155,0.042252
0.66,-0.02246,0.045148
0.7,-0.025692,0.047714
0.74,-0.029189,0.050556
0.78,-0.033172,0.053308
0.82,-0.03795,0.056339
0.86,-0.04316,0.060037
0.92,-0.050866,0.067232
1,-0.060446,0.077168
1.04,-0.066131,0.082146
1.16,-0.082743,0.10079
1.28,-0.099605,0.12215
1.32,-0.10532,0.13021
1.5,-0.12816,0.16971
1.77,-0.15499,0.23849
2.03,-0.17802,0.31298
2.13,-0.18493,0.34615
2.22,-0.18715,0.3786
2.33,-0.18725,0.42083
2.42,-0.17853,0.45499
2.53,-0.16614,0.49506
2.63,-0.147,0.52533
2.72,-0.12759,0.54386
2.83,-0.11161,0.56642
2.92,-0.096542,0.57777
3.03,-0.08636,0.59333
3.13,-0.081916,0.60413
3.22,-0.07947,0.61408
3.33,-0.08306,0.63937
3.42,-0.079461,0.66013
3.53,-0.071631,0.69026
3.63,-0.059679,0.71615
3.72,-0.04339,0.73282
3.83,-0.030663,0.7538
3.92,-0.01606,0.76287
4.03,-0.0056582,0.78083
4.13,0.0059424,0.79332
4.22,0.018613,0.80035
4.32,0.029258,0.80947
4.4,0.033724,0.81612
4.5,0.038802,0.82895
4.6,0.044232,0.8404
4.7,0.053872,0.8504
4.8,0.056188,0.85486
4.9,0.058554,0.86577
5,0.065323,0.87533
5.21,0.061469,0.88421
5.3,0.048931,0.89544
5.39,0.035425,0.91093
5.51,0.031732,0.93079
5.61,0.027411,0.95392
5.71,0.017038,0.99391
5.79,0.017519,1.0161
5.9,0.024255,1.049
5.99,0.037501,1.0813
6.11,0.052025,1.1185
6.2,0.073657,1.1316
6.29,0.082702,1.1578
6.39,0.10669,1.1807
6.49,0.13207,1.196
6.6,0.15176,1.2065
6.7,0.17203,1.2277
6.81,0.20196,1.2198
6.89,0.19847,1.2321
7.13,0.24796,1.2575
7.38,0.29411,1.2618
7.52,0.32508,1.2511
7.61,0.34299,1.2408
7.7,0.34083,1.229
7.8,0.34973,1.2188
7.9,0.34789,1.2067
8,0.35675,1.1929
8.1,0.3543,1.1886
8.21,0.3405,1.1741
8.32,0.33763,1.1697
8.49,0.32645,1.1551
8.61,0.30992,1.1493
8.73,0.29207,1.155
8.92,0.26334,1.1504
9.05,0.24254,1.1556
9.25,0.20867,1.1477
9.54,0.12683,1.1732
9.76,0.082967,1.2113
10,0.034839,1.2716
10.3,0,1.3306
10.5,-0.019205,1.3828
10.8,-0.060955,1.4223
11.1,-0.10731,1.4809
11.3,-0.1557,1.5348
11.5,-0.20733,1.5896
11.7,-0.23845,1.6453
12,-0.32609,1.7559
12.3,-0.36895,1.8711
12.501,-0.40827,1.9869
13.101,-0.4484,2.3018
13.301,-0.40057,2.4651
13.501,-0.38097,2.5398
13.801,-0.33174,2.7202
13.901,-0.30291,2.7598
14.301,-0.21373,2.9209
14.601,-0.11139,3.0448
14.801,-0.038156,3.1288
14.901,0,3.1712
15.301,0.12233,3.2622
15.501,0.1674,3.348
15.701,0.21469,3.392
16.101,0.36123,3.4768
16.301,0.37025,3.5174
16.501,0.42682,3.5568
16.801,0.49165,3.6382
17.001,0.50342,3.675
17.201,0.56687,3.7104
17.501,0.64017,3.841
17.701,0.70946,3.8747
18.001,0.73371,3.9507
18.201,0.86551,4.039
18.801,1.0466,4.1866
19.101,1.1439,4.3213
19.401,1.3112,4.3925
19.701,1.4873,4.3942
20.001,1.6026,4.4594
20.301,1.7946,4.4506
20.701,1.9407,4.4785
21.001,1.9973,4.4556
21.801,2.318,4.4704
22.101,2.4673,4.4241
22.501,2.6456,4.4093
23.001,2.8566,4.4232
25.097,3.73013,4.52471
25.149,3.7918,4.49679
25.199,3.77215,4.38429
25.251,3.76728,4.45575
25.302,3.83951,4.44286
25.354,3.84213,4.3674
25.458,3.9101,4.37273
25.562,3.95088,4.29583
25.723,4.02418,4.22117
25.775,3.99912,4.166
25.883,4.04609,4.15787
25.939,3.9936,4.09956
26.268,4.02939,3.97303
26.323,4.06501,3.9781
26.72,4.09701,3.80366
26.837,4.08616,3.76394
27.2627,4.10045,3.61827
27.6953,4.06366,3.48869
28.1346,4.00733,3.38437
28.581,3.98069,3.28316
29.0344,3.90677,3.20144
29.495,3.85583,3.13285
29.9629,3.80006,3.06573
30.4382,3.74215,3.00005
30.9211,3.67669,2.93577
31.4116,3.60729,2.87288
31.91,3.51437,2.81132
32.4162,3.42234,2.75109
32.9305,3.3139,2.71317
33.4529,3.20284,2.67744
33.9836,3.08187,2.64218
34.5227,2.94783,2.61952
35.0704,2.81196,2.60871
35.6267,2.67587,2.59793
36.1919,2.5307,2.5872
36.7661,2.36717,2.57652
37.3494,2.20023,2.56587
37.9419,1.99838,2.55528
38.5438,1.77847,2.54307
39.1553,1.52344,2.50816
39.7764,1.20755,2.47373
40.4075,0.802418,2.43978
41.0485,0.259961,2.40629
41.187,0.100085,2.39918
41.462,-0.223507,2.41674
41.606,-0.447183,2.44467
41.742,-0.646299,2.4965
41.887,-0.894937,2.58747
42.172,-1.30836,2.86616
42.753,-1.95202,3.65213
43.049,-2.13797,4.01574
43.654,-2.66367,4.68713
43.963,-2.96949,5.16795
44.6604,-3.49045,6.82643
44.917,-3.44412,7.55409
45.244,-3.08693,8.34148
45.578,-2.63815,9.02259
45.751,-2.37309,9.31124
46.258,-1.59317,9.9003
46.958,-0.659826,10.3693
47.703,0.16557,10.6267
48.4597,0.806073,10.8904
49.2285,1.58233,11.1441
50.0095,2.28192,11.0334
50.8028,2.63499,10.9476
51.6088,2.7845,11.039
52.4275,2.98569,11.3119
53.2592,3.40451,11.6494
54.1042,3.93917,12.0056
54.9625,4.68371,12.1635
55.8344,5.37686,12.1708
56.7202,5.99393,12.0321
57.62,6.46832,11.895
58.5341,6.92974,11.7594
59.4627,7.3568,11.5901
60.406,7.7429,11.412
61.3643,8.09821,11.2367
62.3378,8.43474,11.064
63.3268,8.75357,10.894
64.3314,9.07319,10.7266
65.352,9.39084,10.5618
66.3887,9.71135,10.3514
67.4419,10.0035,10.1302
68.5119,10.2811,9.91377
69.5988,10.5773,9.70192
70.7029,10.881,9.42073
71.8245,11.1596,9.09838
72.964,11.381,8.69739
74.1215,11.512,8.29063
75.2974,11.5731,7.90287
76.4919,11.5714,7.53328
77.7054,11.5205,7.21161
78.9381,11.4486,6.95253
80.1904,11.3423,6.70275
81.4626,11.201,6.51866
82.7549,11.0608,6.3861
84.0678,10.938,6.32831
85.4015,10.8481,6.3092
86.7563,10.7866,6.31936
88.1326,10.765,6.36082
89.5308,10.813,6.40256
90.9511,10.9405,6.44458
92.394,11.0964,6.40419
93.8597,11.2661,6.31344
95.3487,11.375,6.09753
96.8614,11.4335,5.88358
98.398,11.4252,5.66917
99.959,11.3515,5.46258
101.545,11.1894,5.34951
103.156,11.0313,5.29654
104.792,10.906,5.3391
106.455,10.8643,5.38225
108.144,10.8512,5.43725
109.72,10.8682,5.48832
110.7,10.9025,5.46484
112.456,10.8842,5.49639
114.24,10.9114,5.52811
116.053,10.9543,5.56002
117.894,11.0129,5.59212
119.764,11.1085,5.613
121.664,11.1848,5.57918
123.594,11.2462,5.54558
125.555,11.2941,5.51218
127.547,11.3269,5.48471
129.57,11.3644,5.49646
131.626,11.4226,5.50824
133.714,11.5435,5.52004
135.835,11.6747,5.4317
137.99,11.7687,5.3158
140.179,11.7631,5.18695
142.403,11.7056,5.08465
144.662,11.6329,5.05497
146.957,11.5771,5.06903
149.288,11.5575,5.13165
151.657,11.5643,5.19505
154.062,11.6027,5.25922
156.507,11.6633,5.32419
158.989,11.7542,5.38997
161.512,11.8955,5.41089
164.074,12.0043,5.39091
166.677,12.1031,5.36757
169.321,12.1924,5.32897
172.007,12.2538,5.29064
174.736,12.3154,5.28321
177.508,12.4021,5.28591
180.324,12.5535,5.28481
183.185,12.7126,5.20113
186.091,12.8295,5.06855
189.043,12.8816,4.92243
192.042,12.9012,4.79003
195.089,12.8908,4.69123
198.184,12.8448,4.59447
201.328,12.7996,4.57151
204.521,12.7905,4.56261
207.766,12.7977,4.55374
211.062,12.8125,4.54488
214.41,12.8307,4.53808
217.812,12.8665,4.53965
221.267,12.9133,4.54122
224.778,12.9735,4.51235
228.344,13.0214,4.47253
231.966,13.0612,4.43305
235.646,13.0952,4.39393
239.384,13.1262,4.3599
243.182,13.163,4.33909
245,13.1839,4.32928
247.94,13.2376,4.30464
251.873,13.3071,4.2375
255.869,13.3611,4.16893
259.928,13.3904,4.06603
264.052,13.4002,3.96568
268.241,13.3864,3.8678
272.496,13.3269,3.78001
276.819,13.2522,3.73823
277.99,13.2295,3.72711
281.46,13.1927,3.73886
284.36,13.1564,3.7317
287.33,13.1376,3.76712
289,13.1278,3.78188
290.02,13.1393,3.80956
291.39,13.1383,3.80235
294.15,13.1743,3.82746
298.816,13.2425,3.81961
303.557,13.3175,3.78804
308.373,13.3563,3.70727
313.265,13.3675,3.61461
318.234,13.3313,3.54711
323.283,13.2948,3.50407
325.41,13.317,3.48629
326.26,13.308,3.44863
327.13,13.2712,3.46712
332.32,13.3303,3.40515
337.592,13.3136,3.33968
342.947,13.2753,3.26503
348.388,13.2291,3.19205
353.915,13.1663,3.12404
359.36,13.0825,3.08179
362.51,13.0629,3.04429
364.64,13.021,3.03425
367.9,12.9724,2.99409
368.98,12.9578,3.012
371.2,12.9415,2.976
373.43,12.8926,2.98788
374.55,12.9071,2.95703
376.83,12.9049,2.96805
382.808,12.8087,2.92648
388.881,12.7353,2.88549
395.05,12.6576,2.84507
399.93,12.5642,2.81394
401.22,12.5588,2.83194
405.16,12.5271,2.77814
411.588,12.4132,2.72332
418.117,12.2952,2.66958
424.75,12.1644,2.61919
431.489,12.0185,2.57002
438.334,11.8573,2.52178
445.288,11.6788,2.47444
452.352,11.4811,2.42853
458.51,11.2929,2.38984
460.56,11.1864,2.37776
460.89,11.2015,2.3937
462.27,11.0639,2.37174
468.22,10.9993,2.3392
469.28,10.8824,2.33754
476.725,10.5461,2.29562
479.07,10.4426,2.2827
479.43,10.4498,2.30101
480.17,10.4555,2.27726
487.788,10.0713,2.24451
488.52,9.98838,2.24141
488.86,10.0432,2.22726
490.41,9.91037,2.24705
491.61,9.92485,2.22521
499.409,9.5062,2.19497
499.92,9.44094,2.19302
500.33,9.48717,2.17318
508.267,8.84233,2.13056
508.55,8.85581,2.12907
513.17,8.56324,2.10149
513.61,8.50224,2.08616
517.03,8.21936,2.08216
525.232,7.45017,2.03891
530.29,6.86496,2.01302
532.56,6.58249,2.0348
535.32,6.20554,1.99573
539.53,5.58082,1.99409
548.089,3.89967,1.93087
551.02,3.13587,1.90991
551.53,2.89301,1.89328
552.02,2.80776,1.90383
552.49,2.62868,1.93549
552.99,2.55281,1.89761
557.99,0.465139,1.87753
558.45,0.297603,1.86045
559.48,-0.181381,1.87425
565.09,-4.24513,1.86581
567.06,-6.55907,1.88493
568.62,-9.09915,1.93087
569.15,-10.1835,1.97838
569.65,-11.334,1.99279
570.2,-12.8869,2.04404
571.24,-16.9314,2.21576
571.76,-19.6016,2.72789
572.06,-21.4963,2.93786
572.29,-23.3098,3.21554
572.59,-26.2653,3.94884
572.81,-28.8117,4.98165
573.1,-32.5132,7.37924
573.36,-35.5311,10.7055
573.63,-37.9309,15.1903
574,-41.8065,20.2126
574.2,-43.3712,28.623
574.54,-42.35,37.6066
575.07,-33.8104,57.5456
575.34,-19.9447,62.5066
575.6,-13.832,61.2332
576.67,9.95913,41.651
578.02,11.7947,27.5276
579.37,7.22823,18.5927
579.91,4.4033,16.4029
580.46,0.574588,15.1991
581,-3.34197,15.0553
581.54,-8.68274,16.14
582.09,-15.2502,19.651
583.18,-18.0137,42.8923
583.46,-12.4228,50.4039
583.73,-5.2832,54.0121
584.01,2.58771,54.2401
584.28,8.66843,52.5685
584.84,15.4975,46.1147
586.22,22.3537,32.4456
587.61,21.2055,25.0798
589,18.5774,21.2744
589.56,18.0383,20.3403
591.99,16.1735,19.7804
593.96,16.3213,18.3122
595.09,16.0457,17.3985
596.81,15.4453,16.5048
598.84,14.9361,15.9911
601.46,14.647,15.3773
604.08,14.2678,14.6829
606.75,13.8531,14.4254
608.84,13.7671,14.3999
611.83,13.7152,13.8884
614.25,13.3958,13.6701
615.47,13.2324,13.6592
616.08,13.1625,13.688
617.03,13.0772,13.7244
617.65,13.0429,13.8221
620.41,13.2499,13.8762
622.91,13.2916,13.5857
625.09,13.0406,13.4093
627.61,12.7827,13.5874
631.15,12.7852,14.0852
635.34,13.1082,14.4143
637.96,13.5615,14.6787
640.93,14.0515,14.454
647.99,14.626,13.8205
652.04,14.4925,13.3267
655.16,14.4247,13.3095
663.2,14.6667,13.8662
665.73,15.0185,13.8204
669.68,15.2677,13.2818
672.21,15.174,12.9914
675.88,14.9264,12.8117
680.32,14.558,12.8202
681.44,14.447,12.8582
682.59,14.361,12.9896
685.21,14.1644,13.2511
686.73,14.2254,13.552
690.56,14.438,14.0372
696,15.0323,14.4316
702.68,15.7835,14.5354
713.828,16.8648,14.2108
714.02,16.878,14.2053
