E_eV,f1,f2
10,-9999,1.70333
10.1617,-9999,1.71802
10.3261,-9999,1.73284
10.4931,-9999,1.74778
10.6628,-9999,1.75737
10.8353,-9999,1.76678
11.0105,-9999,1.77624
11.1886,-9999,1.78574
11.3696,-9999,1.7953
11.5535,-9999,1.80306
11.7404,-9999,1.80629
11.9303,-9999,1.80952
12.1232,-9999,1.81276
12.3193,-9999,1.816
12.5186,-9999,1.81871
12.721,-9999,1.81609
12.9268,-9999,1.81347
13.1359,-9999,1.80922
13.3483,-9999,1.8041
13.5642,-9999,1.79747
13.7836,-9999,1.78729
14.0066,-9999,1.77705
14.2331,-9999,1.76267
14.4633,-9999,1.74841
14.6972,-9999,1.72956
14.935,-9999,1.71004
15.1765,-9999,1.68541
15.422,-9999,1.65917
15.6714,-9999,1.62778
15.9249,-9999,1.59448
16.1825,-9999,1.55788
16.4442,-9999,1.5205
16.7102,-9999,1.47675
16.9805,-9999,1.43237
17.2551,-9999,1.38176
17.5342,-9999,1.33102
17.8178,-9999,1.27265
18.106,-9999,1.22588
18.3988,-9999,1.19605
18.6964,-9999,1.16961
18.9988,-9999,1.14509
19.3061,2.30967,1.10518
19.6184,2.31367,1.0695
19.9357,2.31537,1.03964
20.2581,2.31755,1.01722
20.5858,2.32374,0.999039
20.9187,2.34045,0.987135
21.2571,2.37239,0.952742
21.6009,2.38699,0.912693
21.9503,2.396,0.874329
22.3053,2.40177,0.837576
22.6661,2.40538,0.802368
23.0327,2.40746,0.768641
23.4052,2.40846,0.736331
23.7838,2.40939,0.70538
24.1685,2.41248,0.675729
24.5594,2.4157,0.647325
24.9566,2.42027,0.609275
25.3602,2.41808,0.5679
25.7704,2.40985,0.529334
26.1872,2.39826,0.493388
26.6108,2.38435,0.459883
27.0412,2.36859,0.428653
27.4786,2.35116,0.399544
27.923,2.33226,0.372411
28.3747,2.30996,0.347121
28.8336,2.28594,0.328404
29.3,2.26312,0.315229
29.7739,2.24541,0.302582
30.2554,2.22901,0.290443
30.7448,2.21325,0.278791
31.2421,2.198,0.267606
31.7474,2.18311,0.25687
32.2609,2.16844,0.246565
32.7827,2.15391,0.236673
33.3129,2.13952,0.227178
33.8517,2.12325,0.218064
34.3992,2.10677,0.211374
34.9556,2.09142,0.206573
35.521,2.07852,0.201882
36.0955,2.06586,0.197297
36.6793,2.05353,0.192816
37.2726,2.04141,0.188437
37.8754,2.02931,0.184157
38.488,2.01697,0.179975
38.9,2.00799,0.177252
39.2,2.00121,0.176713
39.5,1.99567,0.176983
39.9,1.98913,0.175827
40,1.98733,0.175565
40.276,1.98264,0.174663
40.556,1.97786,0.174609
40.697,1.9761,0.174013
41.127,1.9696,0.173456
41.566,1.96327,0.171435
42.167,1.954,0.170039
42.473,1.94966,0.168799
42.942,1.9428,0.168198
43.26,1.93854,0.166905
43.746,1.93138,0.165791
44.076,1.92708,0.16539
44.411,1.92291,0.164383
44.581,1.9207,0.163618
44.924,1.91607,0.162962
45.272,1.91126,0.161326
45.448,1.90903,0.161038
45.985,1.90129,0.159149
46.7288,1.89036,0.157516
47.4846,1.87948,0.15599
47.674,1.87667,0.155621
48.265,1.86782,0.155028
48.871,1.85943,0.155666
49.076,1.85755,0.155951
49.283,1.85503,0.154508
49.893,1.84657,0.154198
50.7,1.83364,0.155814
51.52,1.82367,0.157447
51.901,1.81956,0.158203
52.401,1.81434,0.158683
53.2485,1.80585,0.158768
53.401,1.80449,0.158784
53.9,1.79914,0.157647
54.401,1.79325,0.156933
54.901,1.78748,0.157035
55.4,1.78219,0.156125
55.901,1.77644,0.155633
56.8052,1.76616,0.152967
56.901,1.76491,0.152689
57.401,1.75779,0.15156
57.901,1.75138,0.151256
58.4,1.74467,0.149795
59.3446,1.73066,0.148143
60.3044,1.71666,0.147555
60.901,1.70803,0.147236
61.401,1.70036,0.146656
62.3941,1.68542,0.147197
62.401,1.68532,0.147201
63.4,1.67044,0.146706
63.902,1.66247,0.147388
64.4,1.65492,0.147185
65.401,1.63983,0.147806
65.901,1.63182,0.147426
66.9669,1.61497,0.147801
68.05,1.59766,0.147747
69.1507,1.57948,0.147404
69.401,1.57524,0.147327
70.234,1.56001,0.14595
71.37,1.53888,0.145981
72.5243,1.51676,0.146011
72.567,1.51586,0.146012
72.9,1.50929,0.145632
73.568,1.49567,0.146079
74.7579,1.47049,0.146106
74.9,1.46741,0.146109
75.235,1.46015,0.146426
75.567,1.45305,0.146447
76.568,1.43052,0.14731
77.235,1.41539,0.147639
77.567,1.40764,0.148124
77.901,1.40006,0.148179
78.567,1.38396,0.148938
78.9,1.37631,0.148969
80.1761,1.34408,0.150222
80.9,1.32524,0.150928
81.234,1.31669,0.151099
81.568,1.30817,0.151573
82.8873,1.27205,0.15238
83.568,1.25273,0.152793
84.901,1.21283,0.152919
86.2742,1.16875,0.153088
87.6696,1.12068,0.152944
89.0876,1.0678,0.152717
90.5285,1.00938,0.152457
91.9928,0.94463,0.152189
93.4807,0.872376,0.15192
94.9926,0.791324,0.151867
96.5291,0.699761,0.151828
97.567,0.63131,0.151801
98.568,0.560328,0.152508
98.777,0.544993,0.152245
99.526,0.486543,0.151861
99.901,0.455599,0.151904
100.27,0.424344,0.151744
100.66,0.389731,0.152054
102.03,0.258588,0.151656
102.4,0.219148,0.151818
103.77,0.0597848,0.151969
104.03,0.0260858,0.152169
105.53,-0.191568,0.151371
106.53,-0.368308,0.151676
106.9,-0.441904,0.152246
107.77,-0.637412,0.154099
108.03,-0.702374,0.155662
108.28,-0.768299,0.15622
108.4,-0.802126,0.155741
108.53,-0.840651,0.156004
108.65,-0.876311,0.158215
108.77,-0.912731,0.158122
109.03,-0.997553,0.159793
109.15,-1.03849,0.161052
109.27,-1.08113,0.161306
109.4,-1.12894,0.163454
109.53,-1.17915,0.163557
109.77,-1.27829,0.165902
109.9,-1.33524,0.168057
110.03,-1.3958,0.168777
110.16,-1.45968,0.171253
110.27,-1.5164,0.172992
110.53,-1.66366,0.17608
110.66,-1.74613,0.179584
110.77,-1.81926,0.183052
110.9,-1.91441,0.183759
111.03,-2.01892,0.188659
111.15,-2.12502,0.191441
111.28,-2.25725,0.192239
111.4,-2.40087,0.199075
111.53,-2.58708,0.209517
111.6,-2.70637,0.223326
