X-ray absorption edges for Y
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  17038.0	  3.520	  0.68529	  6.814
    L1	  2373.0	  4.710	  0.00590	  1.142
    L2	  2156.0	  1.650	  0.02600	  1.400
    L3	  2080.0	  1.500	  0.02800	  3.909
    M1	  392.0	  6.112	  0.00006	  1.040
    M2	  310.6	  2.533	  0.00003	  1.058
    M3	  298.8	  2.533	  0.00013	  1.127
    M4	  157.7	  0.074	  0.00270	  1.120
    M5	  155.8	  0.074	  0.00000	  1.631
    N1	  43.8	  2.589	  0.00001	  1.000
    N2	  24.4	  0.001	  0.00651	  1.000
    N3	  23.1	  0.001	  0.00651	  1.000
