E_eV,f1,f2
10,-9999,3.16064
10.1152,-9999,3.23709
10.2317,-9999,3.31539
10.3496,-9999,3.39558
10.4688,-9999,3.47772
10.5894,-9999,3.56683
10.7114,-9999,3.65875
10.8348,-9999,3.75304
10.9596,-9999,3.84976
11.0859,-9999,3.94897
11.2136,-9999,4.05074
11.3428,-9999,4.15513
11.4734,-9999,4.26222
11.6056,-9999,4.36492
11.7393,-9999,4.46904
11.8745,-9999,4.57565
12.0113,-9999,4.6848
12.1497,-9999,4.79655
12.2897,-9999,4.91097
12.4312,-9999,5.02812
12.5744,-9999,5.14354
12.7193,-9999,5.2391
12.8658,-9999,5.33644
13.014,-9999,5.43558
13.164,-9999,5.53656
13.3156,-9999,5.63941
13.469,-9999,5.74418
13.6242,-9999,5.85089
13.7811,-9999,5.9596
13.9399,-9999,6.04972
14.1005,-9999,6.10664
14.2629,-9999,6.1641
14.4272,-9999,6.2221
14.5934,-9999,6.28064
14.7615,-9999,6.33973
14.9316,-9999,6.39939
15.1036,-9999,6.4596
15.2776,-9999,6.51458
15.4536,-9999,6.5698
15.6316,-9999,6.6255
15.8117,-9999,6.68166
15.9938,-9999,6.7383
16.1781,-9999,6.79543
16.3644,-9999,6.85303
16.5529,-9999,6.85551
16.7436,-9999,6.84504
16.9365,-9999,6.83458
17.1316,-9999,6.82414
17.329,-9999,6.81371
17.5286,-9999,6.80331
17.7305,-9999,6.76072
17.9348,-9999,6.70745
18.1414,-9999,6.6546
18.3504,-9999,6.60216
18.5618,-9999,6.55014
18.7756,-9999,6.49853
18.9919,-9999,6.44733
19.2107,4.04977,6.35265
19.432,4.16383,6.23982
19.6558,4.26134,6.12899
19.8823,4.34674,6.02013
20.1113,4.42268,5.9132
20.343,4.49103,5.80817
20.5773,4.55354,5.70501
20.8144,4.61238,5.60368
21.0542,4.6729,5.50414
21.2967,4.73769,5.3819
21.5421,4.77673,5.25214
21.7902,4.80053,5.12549
22.0412,4.81325,5.00191
22.2952,4.81629,4.88131
22.552,4.81052,4.76361
22.8118,4.79644,4.64875
23.0746,4.77434,4.53666
23.3404,4.74431,4.42727
23.6093,4.70625,4.32053
23.8812,4.65972,4.21636
24.1564,4.60399,4.11469
24.4346,4.52991,4.01548
24.7161,4.4398,3.94313
25.0008,4.3681,3.88141
25.2889,4.29728,3.82065
25.5802,4.22563,3.76084
25.8749,4.15217,3.70197
26.1729,4.0765,3.64402
26.4744,3.99862,3.58697
26.7794,3.924,3.53083
27.0879,3.85283,3.46445
27.4,3.76404,3.37588
27.7156,3.65438,3.28957
28.0349,3.52953,3.20547
28.3579,3.3905,3.12352
28.6845,3.24029,3.04366
29.015,3.07575,2.95405
29.3492,2.88054,2.86423
29.6873,2.65872,2.77714
30.0293,2.40308,2.6927
30.3753,2.10396,2.61083
30.7252,1.76192,2.58085
31.0791,1.40189,2.55551
31.4372,0.961684,2.53042
31.7993,0.414717,2.57636
32.1656,-0.225084,2.74955
32.5362,-0.96499,3.20099
32.911,-1.42659,3.87453
33.2901,-1.65618,4.68979
33.6736,-1.6349,5.18115
34.0616,-1.72992,5.65925
34.4539,-1.80855,6.18146
34.8508,-1.80555,6.75187
35.2523,-1.65161,7.20542
35.6584,-1.58311,7.56807
36.0692,-1.54946,7.94897
36.4847,-1.51874,8.34904
36.905,-1.48583,8.76924
37.3302,-1.45268,9.21059
37.7602,-1.40896,9.7754
38.1952,-1.22431,10.4012
38.6352,-0.81669,11.067
38.7167,-0.7017,11.194
39.1331,-0.0531179,11.5587
39.5839,0.554739,11.5322
40.0399,0.964674,11.4793
40.5012,1.21822,11.2564
40.9677,1.24275,11.0185
41.4397,0.756544,10.8577
41.9171,0.2665,11.4575
