E_eV,f1,f2
10,-9999,1.92551
10.1617,-9999,2.00949
10.3261,-9999,2.09714
10.4931,-9999,2.18428
10.6628,-9999,2.26758
10.8353,-9999,2.35405
11.0105,-9999,2.44381
11.1886,-9999,2.537
11.3696,-9999,2.63375
11.5535,-9999,2.73418
11.7404,-9999,2.83098
11.9303,-9999,2.91021
12.1232,-9999,2.99166
12.3193,-9999,3.07538
12.5186,-9999,3.16145
12.721,-9999,3.24993
12.9268,-9999,3.34088
13.1359,-9999,3.43438
13.3483,-9999,3.5305
13.5642,-9999,3.6293
13.7836,-9999,3.73087
14.0066,-9999,3.83529
14.2331,-9999,3.94262
14.4633,-9999,4.05296
14.6972,-9999,4.16638
14.935,-9999,4.28299
15.1765,-9999,4.40285
15.422,-9999,4.52607
15.6714,-9999,4.62574
15.9249,-9999,4.72544
16.1825,-9999,4.82729
16.4442,-9999,4.93134
16.7102,-9999,5.03762
16.9805,-9999,5.13464
17.2551,-9999,5.19247
17.5342,-9999,5.25095
17.8178,-9999,5.31009
18.106,-9999,5.3699
18.3988,-9999,5.43038
18.6964,-9999,5.49155
18.9988,-9999,5.55246
19.3061,4.00129,5.58231
19.6184,4.12288,5.61231
19.9357,4.24466,5.64248
20.2581,4.37043,5.6728
20.5858,4.50805,5.7033
20.9187,4.6744,5.70668
21.2571,4.8212,5.66079
21.6009,4.9309,5.61526
21.9503,5.02831,5.5701
22.3053,5.09799,5.5258
22.6661,5.16752,5.51456
23.0327,5.25484,5.50333
23.4052,5.34758,5.49213
23.7838,5.48845,5.48096
24.1685,5.63539,5.39196
24.5594,5.72448,5.26256
24.9566,5.77445,5.13626
25.3602,5.7817,5.01653
25.7704,5.77549,4.9312
26.1872,5.77356,4.84732
26.6108,5.76149,4.76486
27.0412,5.73414,4.68381
27.4786,5.6932,4.61317
27.923,5.65137,4.55793
28.3747,5.60969,4.50335
28.8336,5.57575,4.44943
29.3,5.54106,4.37495
29.7739,5.47773,4.27388
30.2554,5.38257,4.17515
30.7448,5.25645,4.0787
31.2421,5.09956,3.99287
31.7474,4.92262,3.9277
32.2609,4.72383,3.8636
32.7827,4.48464,3.81322
33.3129,4.22155,3.79419
33.8517,3.93916,3.77526
34.3992,3.59282,3.75642
34.9556,3.16812,3.81788
35.521,2.73204,3.95432
36.0955,2.2771,4.09564
36.6793,1.66183,4.242
37.2726,0.928081,4.77751
37.8754,0.337619,5.47293
38.488,-0.147289,6.34746
39.1106,-0.475361,7.36176
39.7431,-0.83543,8.53814
40.386,-0.695614,10.4191
41.0392,0.738605,11.8208
41.7029,2.14221,12.0453
42.3774,3.20822,12.2742
43.0629,4.22882,11.8738
43.7594,4.78,11.3822
44.4671,4.86737,10.5092
45.1864,4.33318,10.3667
45.9172,3.87966,10.3651
46.6599,3.28163,10.7655
47.4146,2.83935,11.5068
48.1815,2.61814,12.5118
48.9608,2.69519,13.7127
49.7527,3.23926,15.0289
50.5574,4.24111,16.224
51.3751,5.56617,16.8755
52.2061,6.918,17.2529
53.0505,8.11956,17.1944
53.9085,9.17238,17.1361
54.7804,10.2643,16.9066
55.6665,11.1935,16.4145
56.5668,11.8679,15.9366
57.4817,12.4461,15.4727
58.4115,12.9444,15.0223
59.3562,13.3794,14.585
60.3163,13.7626,14.1605
61.2918,14.1031,13.7483
62.2832,14.4082,13.3481
63.2906,14.6846,12.9595
64.3142,14.9557,12.5823
65.3545,15.2155,12.1777
66.4115,15.4179,11.7405
67.4857,15.5688,11.3191
68.5772,15.6849,10.9127
69.6864,15.773,10.5209
70.8135,15.8431,10.1432
71.9588,15.9026,9.77676
