X-ray absorption edges for Cs
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  35985.0	  12.300	  0.91182	  5.949
    L1	  5714.0	  3.780	  0.04900	  1.150
    L2	  5359.0	  3.510	  0.09000	  1.400
    L3	  5012.0	  3.250	  0.09100	  2.955
    M1	  1211.0	  10.601	  0.00059	  1.040
    M2	  1071.0	  5.631	  0.00097	  1.058
    M3	  1003.0	  5.631	  0.00078	  1.144
    M4	  740.5	  0.802	  0.00270	  1.052
    M5	  726.6	  0.728	  0.00000	  1.451
    N1	  232.3	  5.320	  0.00002	  1.180
    N2	  172.4	  2.979	  0.00007	  1.005
    N3	  161.3	  2.979	  0.00006	  1.884
    N4	  79.8	  0.100	  0.00009	  1.000
    N5	  77.5	  0.100	  0.00009	  1.000
    O1	  22.7	  0.100	  0.00000	  1.000
    O2	  14.2	  0.100	  0.00000	  1.000
    O3	  12.1	  0.100	  0.00000	  1.000
